humidity,pressure,rain,lightAvg,lightMax,moisture,temperature
82.1875,1036.346875,6.75,5.5,4000,0,25.46875
83.14912,1037.604386,1761.75,11.8448,4000,5.693,26.19298
85.34043,1037.889362,652.5,8.7692,4000,6.8511,25.17021
87.68657,1036.857463,963,8.8358,4000,6.0373,24.29851
87.64615,1027.830769,254.25,274.6232,4333,31.2385,24.06923
95.94805,1006.924675,339.75,14148.9787,54612,100,21.20779
96.17143,1006.568571,38.25,134.9,4000,93.2,23.48571
98.58974,1009.415385,29.25,659.8889,4000,5.7692,21.79487
88.3271,991.6541121,4.5,2168.3333,6295,4.2897,25.09346
90.43269,1009.657692,112.5,2082.371,5489,3.6154,25.39423
94.53782,1009.268067,735.75,6359.0779,54612,3.7647,23.89076
99,1009.796078,607.5,7163.6962,54612,4.0294,22.5098
98,1009.8952,717.75,1356.7432,6495,3.832,22.904
99,996.2891304,513,831.3889,4000,3.0435,21.72464
98.9697,800,195.75,12035.2787,54612,3,23.18182
99,1009.205825,474.75,589.8983,4000,3.0485,21.24272
99,1008.894574,409.5,859.5696,4000,3,21.62791
99,1008.889781,1161,944.5432,4000,3.1971,20.90511
97.80142,1009.378723,0,1817.5952,5536,2.0355,23.66667
92.9,1008.658462,0,1846.3902,4106,1.8,24.53077
98.97857,1007.945714,240.75,1477.2805,5002,1.7143,23.40714
98.68794,1008.977305,398.25,1529.0843,5347,1.1915,22.88652
99,1009.394444,2.25,0,4000,1,20
99,1009.664407,816.75,172.9355,4000,1.0508,20.32203
99,1009.037324,776.25,351.0875,4000,1,20.0493
99,1010.746809,681.75,547.5802,4000,1,19.7234
99,1012.125899,441,2752.6087,54612,1,22.33094
98.97122,1014.832374,423,48975.4779,54612,1.1655,23.47482
99,1012.835971,108,3885.4691,10057,2,22.88489
99,1008.612057,76.5,4270.622,54612,2,22.31915
99,1005.806767,1341,2713.987,11745,1.7669,22.09774
99,1007.675573,1804.5,4562.3611,54612,1.0076,21.03053
99,1009.505036,0,4647.5375,13465,1.3741,22.97842
98.99281,1011.415827,0,5712.9375,14348,9.9928,24.23022
99,1014.02971,135,4237.6709,14418,20.1014,23.65942
99,1011.51087,38.25,2325.9114,7373,22.2754,22.44203
99,1010.524812,2171.25,10962.3108,54612,22.5564,22.00752
99,1009.856522,58.5,3927.7848,12786,23.2174,23.34058
99,1011.639437,742.5,7169.2593,54612,22.3732,23.70423
99,1012.20493,443.25,8072.9383,54612,23.4155,21.26761
99,1010.934783,774,3729.6923,11649,24.2754,22.97826
99,1010.340741,1167.75,1911.2338,7800,24.4,21.94074
99,1010.055319,1453.5,0,4000,22.3688,21.92199
99,1009.144526,630,979.026,3564,23.4526,22.08759
99,1009.536232,594,15494,15494,23.8478,22.76812
98.75887,1011.670213,0,7555.4,54612,23.1631,24.48227
98.93662,1012.869014,38.25,5482.325,14212,22.2465,24.6338
99,1013.682979,65.25,4054,15848,21.5319,23.25532
99,1011.044056,546.75,3913.1728,11093,21.7483,22.85315
99,1011.607143,92.25,2844.4684,12538,23.4929,22.52143
99,1013.352632,900,2844.4684,12538,24.1053,23.06015
99,1013.148551,634.5,2844.4684,12538,24.4855,20.86957
99,1013.132331,29.25,2844.4684,12538,23.9173,21.6015
99,1013.880702,1091.25,2844.4684,12538,23.5439,22.55263
99,1013.082075,13.5,11935.8103,54612,23.6887,22.83019
98.89313,1013.178626,58.5,5152.8955,54612,23.9924,23.98473
97.46154,1015.737363,162,5152.8955,54612,24.7363,24.47253
99,1015.917557,4.5,5152.8955,54612,24.0534,22.76336
99,1016.965248,0,3384.0263,10515,23.2695,23.05674
98.95868,1017.559504,54,4214.8571,15859,21.2562,23.71901
99,1016.480172,157.5,4263.4459,11103,22.3879,23.01724
97.23358,1013.544526,87.75,4263.4459,11103,22.0438,22.29927
99,1013.332773,366.75,4263.4459,11103,22.6975,21.42857
98.14286,1015.972932,382.5,4263.4459,11103,21.8722,20.84211
99,1017.761429,0,4263.4459,11103,20.2214,20.42857
90.43796,1016.443066,0,4263.4459,11103,18.708,22.45985
90.54545,1015.405594,0,4263.4459,11103,16.3497,21.9021
91.54286,1015.535714,0,4263.4459,11103,14.9643,21.87857
88.33577,1015.678832,0,4263.4459,11103,13.927,22.77372
85.64286,1016.66,0,4263.4459,11103,12.5357,23.32857
99,1019.519286,589.5,4263.4459,11103,11.7714,21.64286
99,1020.484615,207,0,4000,2.6154,17.65385
99,1018.4,281.25,3536.3333,54612,6.64,17.34
99,1016.937594,1215,4263.4459,11103,6.8647,15.96992
95.76296,1017.057778,2.25,4263.4459,11103,1.3926,20.80741
90.69286,1016.634286,0,4263.4459,11103,1.1929,22.37857
94.65441,1017.828676,0,33387.9143,54612,1.0368,21.76471
98.93617,1018.870213,0,4414.1091,54612,1,19.97872
89.9635,1019.938686,0,4516.8451,11700,0.9927,21.92701
88.70588,1018.620588,0,4598.2676,10660,0.6103,21.86765
84.13475,1018.668085,0,4414.0417,11161,0.2553,21.7234
81.10072,1019.789928,0,5882.726,54612,0.1079,21.58993
80.76596,1019.058156,0,4351.6901,13652,0.0496,21.41135
80.41844,1020.691489,74.25,4351.6901,13652,3.3901,20.15603
76.53623,1021.807971,0,3697.3056,8477,10.3116,20.05072
70.5036,1020.628777,0,4351.6901,13652,9.5324,20.38129
76.4964,1019.928777,0,6855.3286,54612,8.9928,19.84173
78.66912,1018.497059,0,6855.3286,54612,6.6176,20.05882
72.2029,1018.703623,0,6855.3286,54612,0,20.26812
67.38571,1018.994286,24.75,6855.3286,54612,0.0929,20.77857
87.72662,1020.029496,315,6855.3286,54612,0.295,17.71223
82.97857,1021.259286,0,6855.3286,54612,0.3571,18.55714
82.66197,1020.980282,0,6855.3286,54612,0.007,18.43662
82.82857,1019.997143,0,6855.3286,54612,0.0071,18.40714
80.40426,1020.746099,0,6855.3286,54612,0.0213,18.36879
66.24638,1021.2,0,6855.3286,54612,0.0145,18.99275
50.19708,1019.985401,0,6855.3286,54612,0.0073,19.68613
53.86429,1019.663571,0,6855.3286,54612,0.0071,19.69286
50.82979,1020.826241,0,6855.3286,54612,0.0071,19.29078
56.76087,1022.741304,0,6855.3286,54612,0.0145,18.57971
69.70504,1023.085612,0,6855.3286,54612,0.0288,17.94245
62.07914,1021.238849,0,6855.3286,54612,0,17.59712
57.10714,1021.158571,0,19950.2388,54612,0.0071,17.73571
60.64615,1021.599231,0,26803.4211,54612,0.0154,16.46923
65.41727,1022.845324,0,11408.3929,54612,0.0216,17.33094
67.42446,1024.593525,0,6779.3509,54612,0,17.74101
72.75177,1024.773759,0,4422.971,13652,0.0071,17.48227
72.72857,1024.462143,0,4209.4714,8582,0.0071,18.35714
76.35461,1023.589362,0,4217.0441,8616,0,18.2695
84.66429,1023.259286,0,4217.0441,8616,0,18
78.98507,1024.435075,0,4386.7419,8060,0,18.97015
94.0155,1023.060465,0,3020.8065,6569,0.0078,17.03101
90.10811,1022.226126,0,1718.1385,7842,2.8108,14.69369
89.46809,1020.312766,0,827.1875,4000,0.3191,13.97872
77.55725,1020.820611,0,3020.8065,6569,0.4275,15.8626
82.61417,1021.885827,0,3020.8065,6569,0.3701,14.70079
81.10078,1020.051163,0,3020.8065,6569,0.0078,15.41085
83.48062,1020.84031,0,3020.8065,6569,0.0465,15.49612
83.86179,1021.830081,0,3020.8065,6569,0,14.36585
66.22794,1020.306618,0,3020.8065,6569,3.0147,16.03676
85.56557,1017.998361,0,3020.8065,6569,3.5984,13.28689
88.1746,1017.206349,0,1282.0667,4000,0.0476,14.20635
79.20139,1019.647917,0,3020.8065,6569,0.3403,15.1875
76.74126,1022.958741,0,3020.8065,6569,0.007,16.27972
80.73944,1023.152113,0,3020.8065,6569,0.2958,15.46479
80.20149,1022.414925,0,3020.8065,6569,0.3284,15.41791
86.14184,1023.095035,0,3020.8065,6569,0.1135,14.34752
82.06993,1024.956643,0,3020.8065,6569,0.014,14.60839
78.28873,1022.372535,0,3020.8065,6569,0.007,15.74648
69.68627,1022.417647,0,3020.8065,6569,0,17.17647
83.65,894.634,0,0,4000,0.05,22.05
64.97059,894.0100735,0,24.9873,4000,0.0882,26.86029
62.42609,893.8089565,0,31.5125,4000,0.8,29.31304
61.92308,789.3926923,3,1,4000,1,23.53846
61.10241,812.4557229,15,20.4167,4000,1,26.8494
75.07463,893.6775373,13583.25,21.1111,4000,1,27.88806
76.02113,948.4678873,19768.5,2254.2024,54612,5.7746,27.35915
71.54264,1053.399535,0,1439.4375,12946,11.9147,28.24031
78.40278,1044.148333,20.25,340.5581,4000,11.7569,25.5
71.36364,1001.858811,0,1022.2414,4000,11.3147,28.3007
69.27143,1001.904714,13.5,785.2619,4000,9.0571,29.09286
85.0979,1002.972517,1260,2160.2771,12387,20.5664,24.92308
80.95714,1003.607429,324,6468.7558,28481,16.6,26.52857
73.86331,1003.946691,40.5,15445.631,54612,12.518,28.1223
71.09023,1003.409624,24.75,9803.7342,54612,10.4211,29.08271
74.71329,1002.863497,679.5,8401.25,52476,13.965,28.32867
76.97902,1002.647552,13.5,4155.9419,54585,11.7902,27.32168
84.90909,1003.382078,0,926.6444,4000,10.5714,25.50649
85.78909,1009.635339,9,154.2815,4000,25.3304,25.00295
88.08333,1009.52108,130.5,0,4000,23.4444,23.76852
75.4,1008.048667,24.75,10.5,4000,4.4667,26.6
91,1009.265,0,54612,54612,0,24
82.71698,1006.760189,2.25,24.08,4000,0,27.11321
85.29032,1005.37,22.5,29.0435,4000,0,25.80645
88.02083,1007.329896,159.75,26.3864,4000,0,24.59375
77.25882,1008.795412,0,38.18,4000,0,27.45882
74.6129,1010.794086,0,33.3462,4000,0,27.95699
79.79381,1013.24,0,40.0612,4000,0,27.61856
80.74444,1010.767444,9,40.7111,4000,0,26.93333
84.52577,1010.006598,4.5,1066.8302,54612,0,26.52577
79.43697,1009.032185,0,47.0952,4000,0,27.70588
81.85106,1010.865319,4.5,46.4306,4000,0,27.48936
90.60784,1011.770098,24.75,11.5294,4000,0,24.12745
83.68939,1010.30053,0,52.5574,4000,0,26.81061
90.16901,1009.857113,63,28.1644,4000,0,25.46479
90.41096,1009.333836,2.25,4.5,4000,0,24.43836
90.40351,1008.843333,58.5,5.25,4000,0,23.08772
84.78082,1008.98411,9,35.7667,4000,0,24.9863
80.60526,1011.033158,0,10,4000,0,26.84211
78.91509,1012.174906,0,38.475,4000,0,27.66981
80.99296,1012.834225,20.25,45,4000,0,27.60563
79.88776,1010.886429,0,54.4032,4000,0,27.37755
83.14737,1010.748947,47.25,41.5735,4000,0,27.01053
79.58268,1012.733858,45,54.2239,4000,2,27.51969
88.57143,1012.892095,9,22.6269,4000,0.7048,25.26667
87.03788,1012.725076,6.75,26.3151,4000,1.8864,25.45455
86.79167,1012.828333,0,16.125,4000,1.2917,24.79167
80.08537,1012.793171,2.25,33.7586,4000,2.4268,26.63415
74.88189,1012.595433,0,39.4265,4000,3.6299,26.56693
75.45333,1014.4444,0,36.5641,4000,3.4667,26.50667
76.63359,1015.343588,0,53.9296,4000,3.2519,25.9084
81.82857,1016.471571,13.5,37.5758,4000,2.9,26.21429
80.53333,1017.527067,0,45.5789,4000,2.5733,25.70667
90.95833,1016.447917,0,0,4000,1,22.91667
91.70588,1013.955882,0,0,4000,2,20.05882
90.11905,1011.939524,9,15.6875,4000,2.4048,22.88095
90.76,1014.0484,0,0,4000,2.04,19.04
74.15267,1017.689542,0,52.5,4000,3.8168,25.30534
70.65035,1016.232238,0,52.5,4000,3.6713,24.23077
65.61039,1015.881299,0,46.5227,4000,4.2078,23.28571
63.61386,1015.508614,0,52.5,4000,4.3861,25.61386
58.2963,1015.900988,0,63.1607,4000,5.0741,26.17284
60.43182,1015.788636,0,23,4000,3.5227,21.75
66.26087,1018.865435,0,71.5,4000,4.8043,26.11957
93.5,882.735,0,302,4000,2,21
31,1000,1,1,4000,1,25.55238
31,1005.78,0,447.6,4000,27,25.55238
86.9619,1005.498095,47.25,8768.8228,54612,74.8762,25.55238
92.56391,1008.306015,1710,4488.9103,54612,90.0526,24.55639
88.37209,1008.658915,15459.75,4488.9103,54612,11.9225,25.97674
84.14815,1008.095556,14001.75,4488.9103,54612,10.6,27.4
90.66197,1007.472535,16571.25,4488.9103,54612,17.4507,26.42958
94.18116,1007.282609,1183.5,4488.9103,54612,15.1159,25.27536
96.68056,1007.775694,1962,4488.9103,54612,12.2431,24.73611
94.4065,1007.852846,1071,4488.9103,54612,11.2683,24.39024
97.66901,1008.639437,438.75,4488.9103,54612,11.7394,24.16197
94.84211,1006.52406,13666.5,4488.9103,54612,10.6391,25.29323
99,1007.227465,864,4488.9103,54612,10.3803,22.19718
98.95775,1007.227465,816.75,4488.9103,54612,9.0986,21.73239
99,1007.24,796.5,4488.9103,54612,8.6643,21.48571
92.52817,1007.312676,2.25,4488.9103,54612,8.2606,25.5
88.25954,1006.621374,0,4488.9103,54612,8,25.83206
91.26056,1005.949296,81,4488.9103,54612,7.6901,25.77465
91.17986,1006.671942,191.25,4488.9103,54612,7.0935,25.36691
91.37778,1007.995556,76.5,4488.9103,54612,7.7778,25.68148
90.69504,1008.012766,6.75,4488.9103,54612,7.0426,26.77305
99,1007.278571,4.5,0,4000,7,22.89286
98.70769,1005.376923,0,4510.7541,54612,5,24.70769
98.23611,1003.989583,202.5,4488.9103,54612,5.1319,23.90278
99,991.693617,1611,4488.9103,54612,7.9362,22.09929
93.75352,1000.405634,0,4488.9103,54612,12.8732,24.96479
93.42958,1000.772535,0,4488.9103,54612,13.8944,25.11268
95.47183,1004.730282,56.25,4488.9103,54612,14,25.47183
95.50355,1009.456738,38.25,4488.9103,54612,13.4255,25.00709
98.95745,1008.566667,24.75,4488.9103,54612,13,24.04965
93.41667,1007.742361,0,4488.9103,54612,12.4167,25.90972
95.84615,1009.511888,92.25,4488.9103,54612,12.007,25.58741
98.89286,1010.251429,353.25,4488.9103,54612,10.7429,23.48571
96.91489,1008.799291,4.5,4488.9103,54612,9,25.30496
99,1008.459859,533.25,4488.9103,54612,9.2887,23.52113
98.41844,1008.144681,213.75,4488.9103,54612,9.1135,23.79433
95.67133,986.093007,434.25,4488.9103,54612,8.8042,24.23077
96.46479,1007.517606,191.25,4488.9103,54612,8.6761,24.35211
93.72857,1009.550714,0,4488.9103,54612,8,26.17857
94.02797,1010.669231,0,4488.9103,54612,8,26.40559
96.12676,990.115493,202.5,4488.9103,54612,8.007,25.48592
98,1009.079167,67.5,4488.9103,54612,6.8264,24.41667
98.6993,1009.779021,594,4488.9103,54612,7.3497,23.72727
96.49306,1011.370139,409.5,4488.9103,54612,6.8333,24.93056
99,1011.421127,139.5,4488.9103,54612,7.1056,22.45775
99,1011.416783,13.5,4488.9103,54612,6.9091,23.14685
98.26471,1019.489706,99,4488.9103,54612,6.9926,22.74265
98.97183,1011.276056,13.5,4488.9103,54612,6.3028,22.85211
97.67832,1011.201399,2.25,4488.9103,54612,6,23.97203
95.49286,1013.715714,189,4488.9103,54612,6.1643,22.93571
96.33099,1014.023239,0,4488.9103,54612,6,23.23239
97.01408,1015.140845,333,4488.9103,54612,6.4577,23.87324
96.6993,1015.759441,33.75,4488.9103,54612,6.2587,24.34965
97.69231,1007.80979,468,4488.9103,54612,6.8811,22.8951
93.68613,987.0530657,0,4488.9103,54612,6.0657,23.48175
97.5,1011.515972,222.75,4488.9103,54612,6.3333,22.79861
94.36842,1014.421053,6.75,4488.9103,54612,6.015,21.51128
95.66197,1016.266901,0,4488.9103,54612,6,22.27465
88.35211,1014.895775,0,4488.9103,54612,5.6127,22.44366
86.67133,1010.893986,0,4488.9103,54612,5.007,22.02098
86.65035,1014.083217,0,4488.9103,54612,5,22.1958
82.44681,1013.967376,0,4488.9103,54612,5,23.6383
78.67606,1014.890845,0,4488.9103,54612,5,24.30986
85.91608,1017.458182,11.25,4488.9103,54612,5,24.57343
99,1018.952143,162,4488.9103,54612,5.6286,17.58571
99,999.7637589,15.75,4488.9103,54612,6,17.44681
99,1015.988811,9,4488.9103,54612,6.0629,15.93007
88.71127,999.0835211,4.5,4488.9103,54612,5.8028,20.71831
85.90071,1014.980851,2.25,4488.9103,54612,5.0567,22.65957
85.6338,1016.287324,4.5,4488.9103,54612,5,22.1338
91.5625,1017.750694,263.25,4488.9103,54612,5.6389,20.40972
86.06338,1018.630986,0,4488.9103,54612,5.8944,21.8169
86.74306,1017.300694,0,4488.9103,54612,5,21.44444
84,1010.272727,0,4488.9103,54612,5,21.67133
74.44366,1018.533099,0,4488.9103,54612,5,21.08451
72.51748,1010.717483,0,4488.9103,54612,5,21.33566
64.17857,1012.476429,0,4488.9103,54612,5,21.16429
67.93056,1012.602569,0,4488.9103,54612,5,20.34722
64.42657,1012.529371,0,4488.9103,54612,5,19.65734
68.13287,1018.983217,0,4488.9103,54612,4.2028,20.32867
74.8662,1017.524648,0,4488.9103,54612,4,20.02113
55.63889,1017.774306,0,4488.9103,54612,4,20.69444
50.77465,588.4661972,6.75,4488.9103,54612,4,20.03521
83.57746,452.0978873,0,4488.9103,54612,4,15.47887
81.73427,1020.41958,0,4488.9103,54612,4,18.31469
81.32639,1013.993264,0,4488.9103,54612,4,18.125
80.82517,1025.609091,0,4488.9103,54612,4,18.04895
74.1958,1005.032308,0,4488.9103,54612,4,18.22378
63.29787,1020.489362,0,4488.9103,54612,4,18.56028
58.71528,1019.160417,0,4488.9103,54612,4,17.97222
57.45139,1011.806944,0,4488.9103,54612,4,19.30556
49.40972,1013.020833,0,4488.9103,54612,4,20
53.94444,1014.925,0,4488.9103,54612,4,18.9375
52.02113,1021.641197,0,4488.9103,54612,3.5915,18.97887
53.74126,1020.688112,0,4488.9103,54612,3,18.00699
49.10417,1020.666667,0,4488.9103,54612,3,17.38889
53.67857,1021.317857,0,4488.9103,54612,3,17.83036
52.27083,1019.617569,0,4488.9103,54612,3,17.35417
55.43662,1024.034507,0,4488.9103,54612,3,17.35915
61.57143,1023.9,0,0,4000,3,12.57143
84.37209,1054.751163,0,771,4000,3.8372,16.02326
80.1194,1055.439552,0,4488.9103,54612,2.6269,16.26866
83.6194,1055.291791,0,4488.9103,54612,0.7015,13.21642
97.44444,1054.119048,0,4488.9103,54612,0,11.27778
82.41481,1053.457778,0,4488.9103,54612,0.9926,14.16296
76.79851,1053.315672,0,4488.9103,54612,2.5373,15.00746
73.8797,1053.218045,0,4488.9103,54612,4.0526,14.85714
69.61538,1053.413077,0,4488.9103,54612,5.1923,14.6
77.25564,1054.634586,0,4488.9103,54612,5.3233,14.10526
70.69697,1052.657576,0,4488.9103,54612,5.6894,15.47727
71.32061,1053.548855,0,4488.9103,54612,5.8015,15.63359
64.8806,1054.71791,0,4488.9103,54612,5.291,13.95522
50.52985,1053.056716,0,4488.9103,54612,8.3134,17.06716
60.78519,1051.011111,0,4488.9103,54612,5.1407,14.44444
76.37313,1051.876119,0,4488.9103,54612,2.5672,14.08209
82.50746,1054.952239,0,4488.9103,54612,1.3881,12.02239
75.74627,1052.053731,0,4488.9103,54612,2.9851,13.43284
73.4812,1050.310526,0,4488.9103,54612,3.9323,13.05263
66.03759,1052.415789,0,4488.9103,54612,5.2932,14.18045
64.90299,1055.583582,0,4488.9103,54612,5.9851,15.30597
66.25,1055.833333,0,4488.9103,54612,5.6591,15.15909
59.45238,1055.343651,0,4488.9103,54612,7.0159,14.63492
